A^B^C^D^E^F^G^H^I^J^K^L
271^0^1^Cairns, Mr. Alexander^male^^0^0^S^113798^31.0^
260^1^2^Parrish, Mrs. (Lutie Davis)^female^50.0^0^1^S^230433^26.0^
234^1^3^Asplund, Miss. Lillian Gertrud^female^5.0^4^2^S^347077^31.3875^
642^1^1^Sagesser, Mlle. Emma^female^24.0^0^0^C^PC 17477^69.3^B35
507^1^2^Quick, Mrs. Frederick Charles (Jane Richards)^female^33.0^0^2^S^26360^26.0^
357^1^1^Bowerman, Miss. Elsie Edith^female^22.0^0^1^S^113505^55.0^E33
245^0^3^Attalah, Mr. Sleiman^male^30.0^0^0^C^2694^7.225^
703^0^3^Barbara, Miss. Saiide^female^18.0^0^1^C^2691^14.4542^
247^0^3^Lindahl, Miss. Agda Thorilda Viktoria^female^25.0^0^0^S^347071^7.775^
677^0^3^Sawyer, Mr. Frederick Charles^male^24.5^0^0^S^342826^8.05^
459^1^2^Toomey, Miss. Ellen^female^50.0^0^0^S^F.C.C. 13531^10.5^
744^0^3^McNamee, Mr. Neal^male^24.0^1^0^S^376566^16.1^
76^0^3^Moen, Mr. Sigurd Hansen^male^25.0^0^0^S^348123^7.65^F G73
361^0^3^Skoog, Mr. Wilhelm^male^40.0^1^4^S^347088^27.9^
738^1^1^Lesurer, Mr. Gustave J^male^35.0^0^0^C^PC 17755^512.3292^B101
706^0^2^"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")"^male^39.0^0^0^S^250655^26.0^
875^1^2^Abelson, Mrs. Samuel (Hannah Wizosky)^female^28.0^1^0^C^P/PP 3381^24.0^
707^1^2^"Kelly, Mrs. Florence ""Fannie"""^female^45.0^0^0^S^223596^13.5^
464^0^2^Milling, Mr. Jacob Christian^male^48.0^0^0^S^234360^13.0^
154^0^3^van Billiard, Mr. Austin Blyler^male^40.5^0^2^S^A/5. 851^14.5^
228^0^3^"Lovell, Mr. John Hall (""Henry"")"^male^20.5^0^0^S^A/5 21173^7.25^
734^0^2^Berriman, Mr. William John^male^23.0^0^0^S^28425^13.0^
455^0^3^Peduzzi, Mr. Joseph^male^^0^0^S^A/5 2817^8.05^
103^0^1^White, Mr. Richard Frasar^male^21.0^0^1^S^35281^77.2875^D26
821^1^1^Hays, Mrs. Charles Melville (Clara Jennings Gregg)^female^52.0^1^1^S^12749^93.5^B69
574^1^3^Kelly, Miss. Mary^female^^0^0^Q^14312^7.75^
3^1^3^Heikkinen, Miss. Laina^female^26.0^0^0^S^STON/O2. 3101282^7.925^
709^1^1^Cleaver, Miss. Alice^female^22.0^0^0^S^113781^151.55^
654^1^3^"O'Leary, Miss. Hanora ""Norah"""^female^^0^0^Q^330919^7.8292^
429^0^3^Flynn, Mr. James^male^^0^0^Q^364851^7.75^
710^1^3^"Moubarek, Master. Halim Gonios (""William George"")"^male^^1^1^C^2661^15.2458^
315^0^2^Hart, Mr. Benjamin^male^43.0^1^1^S^F.C.C. 13529^26.25^
52^0^3^Nosworthy, Mr. Richard Cater^male^21.0^0^0^S^A/4. 39886^7.8^
649^0^3^Willey, Mr. Edward^male^^0^0^S^S.O./P.P. 751^7.55^
497^1^1^Eustis, Miss. Elizabeth Mussey^female^54.0^1^0^C^36947^78.2667^D20
60^0^3^Goodwin, Master. William Frederick^male^11.0^5^2^S^CA 2144^46.9^
538^1^1^LeRoy, Miss. Bertha^female^30.0^0^0^C^PC 17761^106.425^
276^1^1^Andrews, Miss. Kornelia Theodosia^female^63.0^1^0^S^13502^77.9583^D7
244^0^3^Maenpaa, Mr. Matti Alexanteri^male^22.0^0^0^S^STON/O 2. 3101275^7.125^
750^0^3^Connaghton, Mr. Michael^male^31.0^0^0^Q^335097^7.75^
130^0^3^Ekstrom, Mr. Johan^male^45.0^0^0^S^347061^6.975^
391^1^1^Carter, Mr. William Ernest^male^36.0^1^2^S^113760^120.0^B96 B98
44^1^2^Laroche, Miss. Simonne Marie Anne Andree^female^3.0^1^2^C^SC/Paris 2123^41.5792^
483^0^3^Rouse, Mr. Richard Henry^male^50.0^0^0^S^A/5 3594^8.05^
588^1^1^Frolicher-Stehli, Mr. Maxmillian^male^60.0^1^1^C^13567^79.2^B41
255^0^3^Rosblom, Mrs. Viktor (Helena Wilhelmina)^female^41.0^0^2^S^370129^20.2125^
601^1^2^Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)^female^24.0^2^1^S^243847^27.0^
787^1^3^Sjoblom, Miss. Anna Sofia^female^18.0^0^0^S^3101265^7.4958^
206^0^3^Strom, Miss. Telma Matilda^female^2.0^0^1^S^347054^10.4625^G6
221^1^3^Sunderland, Mr. Victor Francis^male^16.0^0^0^S^SOTON/OQ 392089^8.05^
816^0^1^Fry, Mr. Richard^male^^0^0^S^112058^0.0^B102
319^1^1^Wick, Miss. Mary Natalie^female^31.0^0^2^S^36928^164.8667^C7
525^0^3^Kassem, Mr. Fared^male^^0^0^C^2700^7.2292^
9^1^3^Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)^female^27.0^0^2^S^347742^11.1333^
78^0^3^Moutal, Mr. Rahamin Haim^male^^0^0^S^374746^8.05^
189^0^3^Bourke, Mr. John^male^40.0^1^1^Q^364849^15.5^
240^0^2^Hunt, Mr. George Henry^male^33.0^0^0^S^SCO/W 1585^12.275^
711^1^1^"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"^female^24.0^0^0^C^PC 17482^49.5042^C90
304^1^2^Keane, Miss. Nora A^female^^0^0^Q^226593^12.35^E101
358^0^2^Funk, Miss. Annie Clemmer^female^38.0^0^0^S^237671^13.0^
194^1^2^Navratil, Master. Michel M^male^3.0^1^1^S^230080^26.0^F2
436^1^1^Carter, Miss. Lucile Polk^female^14.0^1^2^S^113760^120.0^B96 B98
80^1^3^Dowdell, Miss. Elizabeth^female^30.0^0^0^S^364516^12.475^
613^1^3^Murphy, Miss. Margaret Jane^female^^1^0^Q^367230^15.5^
713^1^1^Taylor, Mr. Elmer Zebley^male^48.0^1^0^S^19996^52.0^C126
23^1^3^"McGowan, Miss. Anna ""Annie"""^female^15.0^0^0^Q^330923^8.0292^
114^0^3^Jussila, Miss. Katriina^female^20.0^1^0^S^4136^9.825^
817^0^3^Heininen, Miss. Wendla Maria^female^23.0^0^0^S^STON/O2. 3101290^7.925^
306^1^1^Allison, Master. Hudson Trevor^male^0.92^1^2^S^113781^151.55^C22 C26
657^0^3^Radeff, Mr. Alexander^male^^0^0^S^349223^7.8958^
534^1^3^Peter, Mrs. Catherine (Catherine Rizk)^female^^0^2^C^2668^22.3583^
597^1^2^Leitch, Miss. Jessie Wills^female^^0^0^S^248727^33.0^
822^1^3^Lulic, Mr. Nikola^male^27.0^0^0^S^315098^8.6625^
627^0^2^Kirkland, Rev. Charles Leonard^male^57.0^0^0^Q^219533^12.35^
580^1^3^Jussila, Mr. Eiriik^male^32.0^0^0^S^STON/O 2. 3101286^7.925^
664^0^3^Coleff, Mr. Peju^male^36.0^0^0^S^349210^7.4958^
299^1^1^Saalfeld, Mr. Adolphe^male^^0^0^S^19988^30.5^C106
28^0^1^Fortune, Mr. Charles Alexander^male^19.0^3^2^S^19950^263.0^C23 C25 C27
825^0^3^Panula, Master. Urho Abraham^male^2.0^4^1^S^3101295^39.6875^
823^0^1^Reuchlin, Jonkheer. John George^male^38.0^0^0^S^19972^0.0^
562^0^3^Sivic, Mr. Husein^male^40.0^0^0^S^349251^7.8958^
693^1^3^Lam, Mr. Ali^male^^0^0^S^1601^56.4958^
